Gemeentecode,Gemeente,Provinciecode,Provincie
1680,Aa en Hunze,22,Drenthe
358,Aalsmeer,27,Noord-Holland
197,Aalten,25,Gelderland
59,Achtkarspelen,21,Friesland
482,Alblasserdam,28,Zuid-Holland
613,Albrandswaard,28,Zuid-Holland
361,Alkmaar,27,Noord-Holland
141,Almelo,23,Overijssel
34,Almere,24,Flevoland
484,Alphen aan den Rijn,28,Zuid-Holland
1723,Alphen-Chaam,30,Noord-Brabant
1959,Altena,30,Noord-Brabant
60,Ameland,21,Friesland
307,Amersfoort,26,Utrecht
362,Amstelveen,27,Noord-Holland
363,Amsterdam,27,Noord-Holland
200,Apeldoorn,25,Gelderland
3,Appingedam,20,Groningen
202,Arnhem,25,Gelderland
106,Assen,22,Drenthe
743,Asten,30,Noord-Brabant
744,Baarle-Nassau,30,Noord-Brabant
308,Baarn,26,Utrecht
489,Barendrecht,28,Zuid-Holland
203,Barneveld,25,Gelderland
888,Beek,31,Limburg
1954,Beekdaelen,31,Limburg
370,Beemster,27,Noord-Holland
889,Beesel,31,Limburg
1945,Berg en Dal,25,Gelderland
1724,Bergeijk,30,Noord-Brabant
893,Bergen (L.),31,Limburg
373,Bergen (NH.),27,Noord-Holland
748,Bergen op Zoom,30,Noord-Brabant
1859,Berkelland,25,Gelderland
1721,Bernheze,30,Noord-Brabant
753,Best,30,Noord-Brabant
209,Beuningen,25,Gelderland
375,Beverwijk,27,Noord-Holland
310,De Bilt,26,Utrecht
1728,Bladel,30,Noord-Brabant
376,Blaricum,27,Noord-Holland
377,Bloemendaal,27,Noord-Holland
1901,Bodegraven-Reeuwijk,28,Zuid-Holland
755,Boekel,30,Noord-Brabant
1681,Borger-Odoorn,22,Drenthe
147,Borne,23,Overijssel
654,Borsele,29,Zeeland
756,Boxmeer,30,Noord-Brabant
757,Boxtel,30,Noord-Brabant
758,Breda,30,Noord-Brabant
501,Brielle,28,Zuid-Holland
1876,Bronckhorst,25,Gelderland
213,Brummen,25,Gelderland
899,Brunssum,31,Limburg
312,Bunnik,26,Utrecht
313,Bunschoten,26,Utrecht
214,Buren,25,Gelderland
502,Capelle aan den IJssel,28,Zuid-Holland
383,Castricum,27,Noord-Holland
109,Coevorden,22,Drenthe
1706,Cranendonck,30,Noord-Brabant
1684,Cuijk,30,Noord-Brabant
216,Culemborg,25,Gelderland
148,Dalfsen,23,Overijssel
1891,Dantumadiel,21,Friesland
503,Delft,28,Zuid-Holland
10,Delfzijl,20,Groningen
762,Deurne,30,Noord-Brabant
150,Deventer,23,Overijssel
384,Diemen,27,Noord-Holland
1774,Dinkelland,23,Overijssel
221,Doesburg,25,Gelderland
222,Doetinchem,25,Gelderland
766,Dongen,30,Noord-Brabant
505,Dordrecht,28,Zuid-Holland
498,Drechterland,27,Noord-Holland
1719,Drimmelen,30,Noord-Brabant
303,Dronten,24,Flevoland
225,Druten,25,Gelderland
226,Duiven,25,Gelderland
1711,Echt-Susteren,31,Limburg
385,Edam-Volendam,27,Noord-Holland
228,Ede,25,Gelderland
317,Eemnes,26,Utrecht
770,Eersel,30,Noord-Brabant
1903,Eijsden-Margraten,31,Limburg
772,Eindhoven,30,Noord-Brabant
230,Elburg,25,Gelderland
114,Emmen,22,Drenthe
388,Enkhuizen,27,Noord-Holland
153,Enschede,23,Overijssel
232,Epe,25,Gelderland
233,Ermelo,25,Gelderland
777,Etten-Leur,30,Noord-Brabant
1940,De Fryske Marren,21,Friesland
779,Geertruidenberg,30,Noord-Brabant
1771,Geldrop-Mierlo,30,Noord-Brabant
1652,Gemert-Bakel,30,Noord-Brabant
907,Gennep,31,Limburg
784,Gilze en Rijen,30,Noord-Brabant
1924,Goeree-Overflakkee,28,Zuid-Holland
664,Goes,29,Zeeland
785,Goirle,30,Noord-Brabant
1942,Gooise Meren,27,Noord-Holland
512,Gorinchem,28,Zuid-Holland
513,Gouda,28,Zuid-Holland
786,Grave,30,Noord-Brabant
518,'s-Gravenhage,28,Zuid-Holland
14,Groningen,20,Groningen
1729,Gulpen-Wittem,31,Limburg
158,Haaksbergen,23,Overijssel
788,Haaren,30,Noord-Brabant
392,Haarlem,27,Noord-Holland
394,Haarlemmermeer,27,Noord-Holland
1655,Halderberge,30,Noord-Brabant
160,Hardenberg,23,Overijssel
243,Harderwijk,25,Gelderland
523,Hardinxveld-Giessendam,28,Zuid-Holland
72,Harlingen,21,Friesland
244,Hattem,25,Gelderland
396,Heemskerk,27,Noord-Holland
397,Heemstede,27,Noord-Holland
246,Heerde,25,Gelderland
74,Heerenveen,21,Friesland
398,Heerhugowaard,27,Noord-Holland
917,Heerlen,31,Limburg
1658,Heeze-Leende,30,Noord-Brabant
399,Heiloo,27,Noord-Holland
400,Den Helder,27,Noord-Holland
163,Hellendoorn,23,Overijssel
530,Hellevoetsluis,28,Zuid-Holland
794,Helmond,30,Noord-Brabant
531,Hendrik-Ido-Ambacht,28,Zuid-Holland
164,Hengelo,23,Overijssel
796,'s-Hertogenbosch,30,Noord-Brabant
252,Heumen,25,Gelderland
797,Heusden,30,Noord-Brabant
534,Hillegom,28,Zuid-Holland
798,Hilvarenbeek,30,Noord-Brabant
402,Hilversum,27,Noord-Holland
1963,Hoeksche Waard,28,Zuid-Holland
1735,Hof van Twente,23,Overijssel
1966,Het Hogeland,20,Groningen
1911,Hollands Kroon,27,Noord-Holland
118,Hoogeveen,22,Drenthe
405,Hoorn,27,Noord-Holland
1507,Horst aan de Maas,31,Limburg
321,Houten,26,Utrecht
406,Huizen,27,Noord-Holland
677,Hulst,29,Zeeland
353,IJsselstein,26,Utrecht
1884,Kaag en Braassem,28,Zuid-Holland
166,Kampen,23,Overijssel
678,Kapelle,29,Zeeland
537,Katwijk,28,Zuid-Holland
928,Kerkrade,31,Limburg
1598,Koggenland,27,Noord-Holland
542,Krimpen aan den IJssel,28,Zuid-Holland
1931,Krimpenerwaard,28,Zuid-Holland
1659,Laarbeek,30,Noord-Brabant
1685,Landerd,30,Noord-Brabant
882,Landgraaf,31,Limburg
415,Landsmeer,27,Noord-Holland
416,Langedijk,27,Noord-Holland
1621,Lansingerland,28,Zuid-Holland
417,Laren,27,Noord-Holland
80,Leeuwarden,21,Friesland
546,Leiden,28,Zuid-Holland
547,Leiderdorp,28,Zuid-Holland
1916,Leidschendam-Voorburg,28,Zuid-Holland
995,Lelystad,24,Flevoland
1640,Leudal,31,Limburg
327,Leusden,26,Utrecht
1705,Lingewaard,25,Gelderland
553,Lisse,28,Zuid-Holland
262,Lochem,25,Gelderland
809,Loon op Zand,30,Noord-Brabant
331,Lopik,26,Utrecht
24,Loppersum,20,Groningen
168,Losser,23,Overijssel
263,Maasdriel,25,Gelderland
1641,Maasgouw,31,Limburg
556,Maassluis,28,Zuid-Holland
935,Maastricht,31,Limburg
420,Medemblik,27,Noord-Holland
938,Meerssen,31,Limburg
1948,Meierijstad,30,Noord-Brabant
119,Meppel,22,Drenthe
687,Middelburg,29,Zeeland
1842,Midden-Delfland,28,Zuid-Holland
1731,Midden-Drenthe,22,Drenthe
1952,Midden-Groningen,20,Groningen
815,Mill en Sint Hubert,30,Noord-Brabant
1709,Moerdijk,30,Noord-Brabant
1978,Molenlanden,28,Zuid-Holland
1955,Montferland,25,Gelderland
335,Montfoort,26,Utrecht
944,Mook en Middelaar,31,Limburg
1740,Neder-Betuwe,25,Gelderland
946,Nederweert,31,Limburg
356,Nieuwegein,26,Utrecht
569,Nieuwkoop,28,Zuid-Holland
267,Nijkerk,25,Gelderland
268,Nijmegen,25,Gelderland
1930,Nissewaard,28,Zuid-Holland
1970,Noardeast-Fryslân,21,Friesland
1695,Noord-Beveland,29,Zeeland
1699,Noordenveld,22,Drenthe
171,Noordoostpolder,24,Flevoland
575,Noordwijk,28,Zuid-Holland
820,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant
302,Nunspeet,25,Gelderland
579,Oegstgeest,28,Zuid-Holland
823,Oirschot,30,Noord-Brabant
824,Oisterwijk,30,Noord-Brabant
1895,Oldambt,20,Groningen
269,Oldebroek,25,Gelderland
173,Oldenzaal,23,Overijssel
1773,Olst-Wijhe,23,Overijssel
175,Ommen,23,Overijssel
1586,Oost Gelre,25,Gelderland
826,Oosterhout,30,Noord-Brabant
85,Ooststellingwerf,21,Friesland
431,Oostzaan,27,Noord-Holland
432,Opmeer,27,Noord-Holland
86,Opsterland,21,Friesland
828,Oss,30,Noord-Brabant
1509,Oude IJsselstreek,25,Gelderland
437,Ouder-Amstel,27,Noord-Holland
589,Oudewater,26,Utrecht
1734,Overbetuwe,25,Gelderland
590,Papendrecht,28,Zuid-Holland
1894,Peel en Maas,31,Limburg
765,Pekela,20,Groningen
1926,Pijnacker-Nootdorp,28,Zuid-Holland
439,Purmerend,27,Noord-Holland
273,Putten,25,Gelderland
177,Raalte,23,Overijssel
703,Reimerswaal,29,Zeeland
274,Renkum,25,Gelderland
339,Renswoude,26,Utrecht
1667,Reusel-De Mierden,30,Noord-Brabant
275,Rheden,25,Gelderland
340,Rhenen,26,Utrecht
597,Ridderkerk,28,Zuid-Holland
1742,Rijssen-Holten,23,Overijssel
603,Rijswijk,28,Zuid-Holland
1669,Roerdalen,31,Limburg
957,Roermond,31,Limburg
736,De Ronde Venen,26,Utrecht
1674,Roosendaal,30,Noord-Brabant
599,Rotterdam,28,Zuid-Holland
277,Rozendaal,25,Gelderland
840,Rucphen,30,Noord-Brabant
441,Schagen,27,Noord-Holland
279,Scherpenzeel,25,Gelderland
606,Schiedam,28,Zuid-Holland
88,Schiermonnikoog,21,Friesland
1676,Schouwen-Duiveland,29,Zeeland
965,Simpelveld,31,Limburg
1702,Sint Anthonis,30,Noord-Brabant
845,Sint-Michielsgestel,30,Noord-Brabant
1883,Sittard-Geleen,31,Limburg
610,Sliedrecht,28,Zuid-Holland
1714,Sluis,29,Zeeland
90,Smallingerland,21,Friesland
342,Soest,26,Utrecht
847,Someren,30,Noord-Brabant
848,Son en Breugel,30,Noord-Brabant
37,Stadskanaal,20,Groningen
180,Staphorst,23,Overijssel
532,Stede Broec,27,Noord-Holland
851,Steenbergen,30,Noord-Brabant
1708,Steenwijkerland,23,Overijssel
971,Stein,31,Limburg
1904,Stichtse Vecht,26,Utrecht
1900,Súdwest-Fryslân,21,Friesland
715,Terneuzen,29,Zeeland
93,Terschelling,21,Friesland
448,Texel,27,Noord-Holland
1525,Teylingen,28,Zuid-Holland
716,Tholen,29,Zeeland
281,Tiel,25,Gelderland
855,Tilburg,30,Noord-Brabant
183,Tubbergen,23,Overijssel
1700,Twenterand,23,Overijssel
1730,Tynaarlo,22,Drenthe
737,Tytsjerksteradiel,21,Friesland
856,Uden,30,Noord-Brabant
450,Uitgeest,27,Noord-Holland
451,Uithoorn,27,Noord-Holland
184,Urk,24,Flevoland
344,Utrecht,26,Utrecht
1581,Utrechtse Heuvelrug,26,Utrecht
981,Vaals,31,Limburg
994,Valkenburg aan de Geul,31,Limburg
858,Valkenswaard,30,Noord-Brabant
47,Veendam,20,Groningen
345,Veenendaal,26,Utrecht
717,Veere,29,Zeeland
861,Veldhoven,30,Noord-Brabant
453,Velsen,27,Noord-Holland
983,Venlo,31,Limburg
984,Venray,31,Limburg
1961,Vijfheerenlanden,26,Utrecht
622,Vlaardingen,28,Zuid-Holland
96,Vlieland,21,Friesland
718,Vlissingen,29,Zeeland
986,Voerendaal,31,Limburg
626,Voorschoten,28,Zuid-Holland
285,Voorst,25,Gelderland
865,Vught,30,Noord-Brabant
1949,Waadhoeke,21,Friesland
866,Waalre,30,Noord-Brabant
867,Waalwijk,30,Noord-Brabant
627,Waddinxveen,28,Zuid-Holland
289,Wageningen,25,Gelderland
629,Wassenaar,28,Zuid-Holland
852,Waterland,27,Noord-Holland
988,Weert,31,Limburg
457,Weesp,27,Noord-Holland
1960,West Betuwe,25,Gelderland
668,West Maas en Waal,25,Gelderland
1969,Westerkwartier,20,Groningen
1701,Westerveld,22,Drenthe
293,Westervoort,25,Gelderland
1950,Westerwolde,20,Groningen
1783,Westland,28,Zuid-Holland
98,Weststellingwerf,21,Friesland
614,Westvoorne,28,Zuid-Holland
189,Wierden,23,Overijssel
296,Wijchen,25,Gelderland
1696,Wijdemeren,27,Noord-Holland
352,Wijk bij Duurstede,26,Utrecht
294,Winterswijk,25,Gelderland
873,Woensdrecht,30,Noord-Brabant
632,Woerden,26,Utrecht
1690,De Wolden,22,Drenthe
880,Wormerland,27,Noord-Holland
351,Woudenberg,26,Utrecht
479,Zaanstad,27,Noord-Holland
297,Zaltbommel,25,Gelderland
473,Zandvoort,27,Noord-Holland
50,Zeewolde,24,Flevoland
355,Zeist,26,Utrecht
299,Zevenaar,25,Gelderland
637,Zoetermeer,28,Zuid-Holland
638,Zoeterwoude,28,Zuid-Holland
1892,Zuidplas,28,Zuid-Holland
879,Zundert,30,Noord-Brabant
301,Zutphen,25,Gelderland
1896,Zwartewaterland,23,Overijssel
642,Zwijndrecht,28,Zuid-Holland
193,Zwolle,23,Overijssel
